,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
42,Texas,TX,44,2010,17.9,5.7,2.7580645168319067,0.4485822442312448,3.7685092023915248,6.422139021052449,1.1495628847683883
43,Utah,UT,45,2010,13.2,6.4,0.9355695102423782,0.21183051252967214,3.16646801175499,7.317685803268789,0.9659345260314802
44,Vermont,VT,46,2010,12.7,5.5,1.4301486389541749,0.13021686300387136,2.2817509454702907,17.673386668674215,2.2445201069216254
45,Virginia,VA,47,2010,11.1,5.1,1.55862302162631,0.2129566425659786,2.3205755849016767,9.798874087402359,1.0876750237016617
46,Washington,WA,48,2010,13.4,6.9,2.023139030644403,0.31293981903740714,3.696563609048426,9.459063658575882,1.2675145302491684
47,West Virginia,WV,49,2010,18.1,4.8,1.1360658038149345,0.3144147005860625,2.2381149355611654,9.065725669370298,1.6408963461560242
48,Wisconsin,WI,50,2010,13.2,6.1,1.5947183635812476,0.24852055408379792,2.5061528255549845,11.0844104588915,1.463142180573678
49,Wyoming,WY,51,2010,11.2,4.2,1.7972121944349475,0.19557580599730376,2.457806822832058,11.609450578262084,1.3002584647653532
50,Alabama,AL,1,2011,19.0,6.8,2.273750767075864,0.42037320155221775,3.608824961674858,6.5384293670731815,1.2423015797439045
51,Alaska,AK,2,2011,10.5,6.0,1.8532725500188332,0.6069561075044867,2.6349899186847763,25.29213921183212,2.6556746172423726
52,Arizona,AZ,3,2011,19.0,6.7,2.1952269389799497,0.40649546097320677,3.5599367986153414,7.734007332252472,1.4694613931279694
53,Arkansas,AR,4,2011,19.5,5.5,2.023538768585494,0.48046922687948007,3.7506796927363757,7.836868476716511,1.5281893529597197
54,California,CA,5,2011,16.6,7.8,1.7311117033259333,0.4116650219354616,2.587521791924618,12.397098777400608,2.057918397048501
55,Colorado,CO,6,2011,13.5,6.3,2.3499844662522253,0.3199112379586605,2.6041434783253936,7.0973978171795515,0.9581487053192395
56,Connecticut,CT,7,2011,10.9,7.2,1.9838457557556077,0.2721914631593996,2.1628450152900425,16.266405935626665,1.7730382469833066
57,Delaware,DE,8,2011,11.9,5.7,2.5884385941517403,0.5593019911150884,3.40970331095758,16.321847662427924,1.942299871828923
58,Florida,FL,10,2011,17.0,7.4,2.239316044827448,0.5153927387771432,3.522760988067277,6.885536809618353,1.17054125763512
59,Georgia,GA,11,2011,19.1,7.6,5.897655412213562,0.3737236201917667,3.631262489886437,5.53708356438845,1.057582960798194
60,Hawaii,HI,12,2011,12.0,4.7,2.1230612855961124,0.28629862781105886,3.326907503576014,12.607289486409698,1.5128747383691636
61,Idaho,ID,13,2011,16.5,6.3,3.3336586485343234,0.20102152268752643,2.070003977498722,8.321815040378594,1.3730994816624682
63,Indiana,IN,15,2011,16.0,6.4,2.825935860323166,0.33186383914870005,3.1620365937198462,8.053543811980859,1.2885670099169373
64,Iowa,IA,16,2011,12.8,4.1,1.516418357283742,0.25522317188983856,2.327240067624683,12.486291150904531,1.59824526731578
65,Kansas,KS,17,2011,13.8,5.0,1.3069217088238114,0.35417229391211913,3.0822957418815187,8.916989021804477,1.2305444850090181
66,Kentucky,KY,18,2011,19.1,6.2,2.1827302285379653,0.23813332399656642,2.708531997077226,8.787342818675198,1.6783824783669627
67,Louisiana,LA,19,2011,20.4,5.6,2.8363187236716296,0.5552465510176205,3.6878896325638575,6.884110442428577,1.4043585302554296
68,Maine,ME,20,2011,14.1,5.5,0.8787503124331846,0.12316643127523934,2.545314104513794,15.511892472965332,2.187176838688112
69,Maryland,MD,21,2011,10.1,6.1,2.4158052487756057,0.49314837657650534,2.8547189369353356,15.724989417645494,1.5882239311821946
70,Massachusetts,MA,22,2011,11.6,6.2,1.4565711778320465,0.4266824805857884,2.249763857201157,19.181451369046883,2.2250483588094383
71,Michigan,MI,23,2011,17.5,8.0,2.61505349200175,0.4450634116448494,2.610486184951609,8.631012058883718,1.5104271103046503
72,Minnesota,MN,24,2011,11.9,5.4,2.455259677864958,0.22118749909981833,2.548828192586693,17.08968172997639,2.0336721258671906
73,Mississippi,MS,25,2011,22.6,6.5,2.1108605845912236,0.26977931206275424,3.025281571246279,8.076295113412062,1.825242695631126
74,Missouri,MO,26,2011,15.8,6.0,1.954330167920769,0.44738385514805895,3.3090332805071316,7.989191926547307,1.2622923243944744
75,Montana,MT,27,2011,14.8,5.2,1.5270317532256579,0.2677185566059303,2.3217315274195944,9.418075411702306,1.3938751609319413
76,Nebraska,NE,28,2011,13.1,4.4,1.3685907646772484,0.253440047982476,2.755841344900124,8.671119581816185,1.1359166652179205
77,Nevada,NV,29,2011,15.9,8.2,1.3039197229359354,0.564339244967247,2.570510150291404,4.9326971249251175,0.7842988428630936
78,New Hampshire,NH,30,2011,8.8,4.7,0.8564407870916724,0.1876985491614162,2.2804086041378517,16.741386063372396,1.4732419735767708
79,New Jersey,NJ,31,2011,10.4,7.3,1.891228096546523,0.30814045622639574,2.149031327971752,15.4815421436548,1.6100803829400991
81,New York,NY,33,2011,16.0,6.0,1.121622176473433,0.39740008341863153,1.9090743070461051,16.388991756140662,2.622238680982506
82,North Carolina,NC,34,2011,17.9,7.3,1.6732538835767758,0.34971450440233964,3.5263655785003136,6.721463945109817,1.2031420461746571
83,North Dakota,ND,35,2011,12.2,2.2,1.1688150169652305,0.246488379729286,1.933087671932577,10.925871542732464,1.3329563282133605
84,Ohio,OH,36,2011,16.4,6.6,2.843496416482664,0.3073628047869392,3.354770944808003,9.729952653468006,1.595712235168753
85,Oklahoma,OK,37,2011,17.2,4.6,1.6273221581050892,0.45515509403890164,3.35900922267809,8.374363184862702,1.4403904677963846
86,Oregon,OR,38,2011,17.5,7.5,1.8044391865158278,0.24757001226228267,3.114485505816578,8.914936298555666,1.5601138522472415
87,Pennsylvania,PA,39,2011,13.8,5.9,2.5329193527444107,0.35494003325797524,2.2217410185225503,13.478396805062134,1.8600187590985746
88,Rhode Island,RI,40,2011,14.7,6.8,2.678596003033268,0.24695130921208105,2.67081352518723,15.516662234063245,2.280949348407297
89,South Carolina,SC,41,2011,18.9,7.2,1.5307152192404356,0.5727747081866972,3.910214781953915,7.5290309237527495,1.4229868445892695
90,South Dakota,SD,42,2011,13.9,3.7,1.9300564730280882,0.2542561187208513,1.8187690555490121,8.435222294942006,1.172495898996939
